aluno_anon,opcao,unidade,g,h,bairro_fam,situacao,pontos,irmao,pais_menor18
aluno_0073592,2,08017,Maternal II ,Integral,REALENGO,Cancelado,53,0,0
aluno_0073596,1,1019827,Maternal II ,Integral,SANTA CRUZ,Confirmado,57,0,0
aluno_0073596,2,1019828,Maternal II ,Integral,SANTA CRUZ,Cancelado pelo sistema,57,0,0
aluno_0073596,3,10034,Maternal II ,Integral,SANTA CRUZ,Cancelado pelo sistema,57,0,0
aluno_0073597,1,07036,Maternal II ,Integral,FREGUESIA (JACAREPAGUA),Confirmado,4,0,0
aluno_0073598,1,03034,Maternal II ,Integral,TOMAS COELHO,Confirmado,6,1,0
aluno_0073600,1,1019623,Maternal II ,Parcial,PACIENCIA,Cancelado pelo sistema,0,0,0
aluno_0073600,1,1019818,Maternal II ,Integral,PACIENCIA,Confirmado,0,0,0
aluno_0073601,1,05006,Maternal II ,Integral,MADUREIRA,Confirmado,3,1,0
aluno_0073604,1,1019801,Maternal II ,Integral,PACIENCIA,Confirmado,7,0,0
aluno_0073604,2,1019815,Maternal II ,Parcial,PACIENCIA,Cancelado pelo sistema,7,0,0
aluno_0073604,3,1019631,Maternal II ,Integral,PACIENCIA,Cancelado pelo sistema,7,0,0
aluno_0073606,1,09041,Maternal II ,Integral,CAMPO GRANDE,Lista de espera,53,1,0
aluno_0073606,2,09028,Maternal II ,Integral,CAMPO GRANDE,Cancelado na confirmacao,53,1,0
aluno_0073606,3,09025,Maternal II ,Integral,CAMPO GRANDE,Cancelado na confirmacao,53,1,0
aluno_0073609,1,03019,Maternal II ,Integral,RAMOS,Confirmado,53,1,0
aluno_0073613,1,0625801,Maternal II ,Integral,BARROS FILHO,Confirmado,6,0,0
aluno_0073617,1,1019811,Maternal II ,Integral,PACIENCIA,Cancelado,0,0,0
aluno_0073617,2,10074,Maternal II ,Integral,PACIENCIA,Cancelado,0,0,0
aluno_0073617,3,1019632,Maternal II ,Integral,PACIENCIA,Cancelado,0,0,0
aluno_0073617,4,1019614,Maternal II ,Integral,PACIENCIA,Cancelado,0,0,0
aluno_0073617,5,10064,Maternal II ,Integral,PACIENCIA,Cancelado,0,0,0
aluno_0073619,1,10055,Maternal II ,Integral,SEPETIBA,Confirmado,0,0,0
aluno_0073622,1,1026802,Maternal II ,Integral,GUARATIBA,Cancelado pelo sistema,53,0,0
aluno_0073622,2,1026806,Maternal II ,Integral,GUARATIBA,Confirmado,53,0,0
aluno_0073622,3,10071,Maternal II ,Integral,GUARATIBA,Cancelado pelo sistema,53,0,0
aluno_0073622,4,10051,Maternal II ,Integral,GUARATIBA,Cancelado pelo sistema,53,0,0
aluno_0073628,1,09013,Maternal II ,Integral,SANTISSIMO,Confirmado,2,0,0
aluno_0073633,1,0724803,Maternal II ,Integral,RECREIO DOS BANDEIRANTES,Cancelado na confirmacao,0,0,0
aluno_0073633,2,0724808,Maternal II ,Integral,RECREIO DOS BANDEIRANTES,Confirmado,0,0,0
aluno_0073633,3,07044,Maternal II ,Integral,RECREIO DOS BANDEIRANTES,Cancelado pelo sistema,0,0,0
aluno_0073635,1,0817604,Maternal II ,Integral,BANGU,Confirmado,53,1,0
aluno_0073635,2,0817603,Maternal II ,Integral,BANGU,Cancelado pelo sistema,53,1,0
aluno_0073644,1,0716609,Maternal II ,Integral,JACAREPAGUA,Lista de espera,55,1,0
aluno_0073644,2,0716814,Maternal II ,Parcial,JACAREPAGUA,Lista de espera,55,1,0
aluno_0073644,3,0716601,Maternal II ,Integral,JACAREPAGUA,Lista de espera,55,1,0
aluno_0073644,4,0716805,Maternal II ,Integral,JACAREPAGUA,Lista de espera,55,1,0
aluno_0073644,5,0716812,Maternal II ,Integral,JACAREPAGUA,Lista de espera,55,1,0
aluno_0073653,1,0515605,Maternal II ,Integral,ROCHA MIRANDA,Cancelado pelo sistema,53,1,0
aluno_0073653,2,0515601,Maternal II ,Integral,ROCHA MIRANDA,Confirmado,53,1,0
aluno_0073658,1,0312810,Maternal II ,Integral,TOMAS COELHO,Lista de espera,84,1,0
aluno_0073659,1,03013,Maternal II ,Integral,MARIA DA GRACA,Confirmado,0,0,0
aluno_0073662,1,0312810,Maternal II ,Integral,TOMAS COELHO,Lista de espera,59,1,0
aluno_0073664,1,03026,Maternal II ,Integral,MANGUINHOS,Confirmado,53,1,0
aluno_0073664,1,0410603,Maternal II ,Parcial,MANGUINHOS,Cancelado pelo sistema,53,1,0
aluno_0073664,2,03039,Maternal II ,Integral,MANGUINHOS,Cancelado pelo sistema,53,1,0
aluno_0073664,2,0410802,Maternal II ,Integral,MANGUINHOS,Cancelado pelo sistema,53,1,0
aluno_0073664,3,0410803,Maternal II ,Integral,MANGUINHOS,Cancelado na confirmacao,53,1,0
aluno_0073667,1,0817801,Maternal II ,Integral,BANGU,Cancelado pelo sistema,4,1,0
aluno_0073672,1,0716807,Maternal II ,Integral,BARRA DA TIJUCA,Cancelado,0,0,0
aluno_0073672,1,0716807,Maternal II ,Integral,BARRA DA TIJUCA,Cancelado,0,0,0
aluno_0073672,2,0716613,Maternal II ,Integral,BARRA DA TIJUCA,Cancelado,0,0,0
aluno_0073672,2,0716613,Maternal II ,Integral,BARRA DA TIJUCA,Cancelado,0,0,0
aluno_0073675,1,0918827,Maternal II ,Integral,COSMOS,Confirmado,55,1,0
aluno_0073675,2,0918826,Maternal II ,Integral,COSMOS,Cancelado na confirmacao,55,1,0
aluno_0073680,1,0817815,Maternal II ,Parcial,BANGU,Confirmado,55,0,0
aluno_0073680,2,0817807,Maternal II ,Integral,BANGU,Cancelado pelo sistema,55,0,0
aluno_0073686,1,04029,Maternal II ,Integral,INHAUMA,Cancelado pelo sistema,53,0,0
aluno_0073686,1,03037,Maternal II ,Integral,INHAUMA,Confirmado,53,0,0
aluno_0073686,2,03014,Maternal II ,Integral,INHAUMA,Cancelado pelo sistema,53,0,0
aluno_0073687,1,0102605,Maternal II ,Integral,CENTRO,Cancelado pelo sistema,0,1,0
aluno_0073687,2,0102802,Maternal II ,Integral,CENTRO,Confirmado,0,1,0
aluno_0073687,3,0102803,Maternal II ,Integral,CENTRO,Cancelado pelo sistema,0,1,0
aluno_0073687,4,0102604,Maternal II ,Integral,CENTRO,Cancelado pelo sistema,0,1,0
aluno_0073692,1,10079,Maternal II ,Integral,SEPETIBA,Cancelado,0,0,0
aluno_0073694,1,0716814,Maternal II ,Parcial,JACAREPAGUA,Lista de espera,51,0,0
aluno_0073694,2,0716601,Maternal II ,Integral,JACAREPAGUA,Lista de espera,51,0,0
aluno_0073694,3,0716805,Maternal II ,Integral,JACAREPAGUA,Lista de espera,51,0,0
aluno_0073694,4,0716609,Maternal II ,Integral,JACAREPAGUA,Lista de espera,51,0,0
aluno_0073694,5,0716812,Maternal II ,Integral,JACAREPAGUA,Lista de espera,51,0,0
aluno_0073698,1,0724804,Maternal II ,Integral,JACAREPAGUA,Confirmado,53,1,0
aluno_0073698,2,0716609,Maternal II ,Integral,JACAREPAGUA,Cancelado pelo sistema,53,1,0
aluno_0073698,3,0716812,Maternal II ,Integral,JACAREPAGUA,Cancelado pelo sistema,53,1,0
aluno_0073698,4,0716814,Maternal II ,Parcial,JACAREPAGUA,Cancelado pelo sistema,53,1,0
aluno_0073698,5,0716805,Maternal II ,Integral,JACAREPAGUA,Cancelado pelo sistema,53,1,0
aluno_0073703,1,0817602,Maternal II ,Integral,BANGU,Lista de espera,2,1,0
