unidade,g,h,capacidade
09033,Berçário,Integral,22
09035,Maternal II ,Integral,16
09036,Berçário,Integral,45
09040,Maternal I,Integral,4
09046,Berçário,Integral,16
0918603,Maternal I,Parcial,26
0918606,Maternal II ,Parcial,2
0918608,Maternal I,Parcial,33
0918608,Maternal II ,Parcial,15
0918614,Maternal II ,Parcial,11
0918620,Maternal I,Parcial,4
0918804,Maternal I,Integral,18
0918804,Maternal II ,Parcial,9
0918806,Maternal I,Integral,29
0918806,Berçário,Integral,64
0918807,Berçário,Integral,82
0918817,Maternal II ,Parcial,11
0918817,Maternal I,Parcial,43
0918822,Maternal I,Integral,29
0918834,Maternal I,Integral,20
0918836,Maternal II ,Integral,4
10001,Berçário,Integral,48
10001,Maternal I,Integral,18
10008,Maternal I,Integral,18
10008,Maternal II ,Integral,7
10013,Maternal I,Integral,9
10018,Maternal I,Integral,22
10019,Maternal I,Integral,35
10028,Maternal II ,Integral,8
10029,Maternal I,Integral,37
10030,Berçário,Integral,19
10033,Berçário,Integral,22
10041,Maternal I,Integral,22
10046,Maternal II ,Integral,4
10047,Berçário,Integral,34
10060,Maternal II ,Integral,7
10070,Berçário,Integral,13
10075,Maternal I,Integral,53
10076,Maternal II ,Integral,20
1019605,Maternal I,Integral,30
1019607,Maternal I,Integral,31
1019612,Maternal I,Integral,14
1019614,Berçário,Integral,20
1019619,Maternal I,Integral,7
1019625,Maternal II ,Integral,5
1019627,Berçário,Integral,18
1019633,Maternal I,Integral,19
1019806,Maternal I,Integral,21
1019807,Maternal II ,Integral,25
1019821,Berçário,Integral,39
1019828,Maternal II ,Integral,7
1026603,Maternal I,Integral,31
1026604,Maternal II ,Parcial,54
1026802,Maternal II ,Integral,3
1026805,Berçário,Integral,53
1026809,Maternal I,Integral,20
1026810,Maternal I,Integral,35
1026810,Maternal II ,Integral,6
11006,Maternal I,Integral,61
1120601,Berçário,Integral,45
1120604,Maternal II ,Integral,7
1120604,Berçário,Integral,20
1120802,Berçário,Integral,23
0103602,Maternal I,Integral,4
0103604,Maternal I,Integral,4
02018,Maternal II ,Integral,4
02034,Maternal II ,Integral,11
02054,Maternal II ,Integral,2
0208608,Maternal I,Integral,9
0312801,Maternal II ,Integral,13
0312812,Maternal II ,Integral,9
0313601,Maternal II ,Integral,3
04034,Berçário,Integral,16
04044,Maternal II ,Integral,10
0430605,Maternal II ,Integral,2
0514601,Maternal II ,Integral,9
06013,Maternal I,Integral,6
0625604,Maternal II ,Integral,11
0625611,Maternal I,Integral,3
0625815,Maternal II ,Integral,8
0716806,Maternal II ,Integral,3
0724805,Maternal I,Integral,25
09024,Maternal II ,Integral,6
09033,Maternal I,Integral,19
09043,Maternal II ,Integral,4
10028,Maternal I,Integral,14
10029,Maternal II ,Integral,12
10077,Maternal I,Integral,6
10083,Maternal II ,Integral,5
1019611,Maternal II ,Integral,3
1019615,Maternal II ,Integral,9
1120804,Maternal II ,Integral,8
02019,Maternal I,Integral,2
0206602,Maternal II ,Integral,6
0208604,Maternal II ,Integral,3
0313606,Maternal I,Integral,11
04015,Maternal II ,Integral,6
0410601,Maternal II ,Integral,6
0625612,Maternal I,Integral,4
07008,Maternal II ,Integral,6
1120605,Maternal I,Integral,3
0107607,Maternal II ,Integral,3
02020,Maternal II ,Integral,2
02049,Maternal II ,Integral,2
0313610,Maternal II ,Integral,2
04036,Maternal I,Integral,4
10062,Maternal II ,Integral,2
10065,Maternal II ,Integral,1
1026801,Maternal II ,Integral,2
0107606,Maternal II ,Parcial,1
03030,Maternal II ,Integral,1
04023,Maternal II ,Integral,1
04046,Maternal II ,Integral,1
1019822,Maternal II ,Integral,1
09046,Maternal I,Integral,1
0918821,Maternal I,Parcial,1
0206603,Maternal II ,Integral,1
04046,Maternal I,Integral,1
0101603,Berçário,Integral,54
0101802,Maternal I,Integral,11
0102604,Maternal I,Integral,28
0102606,Maternal I,Integral,21
0103801,Berçário,Integral,31
0103806,Maternal II ,Parcial,9
0107601,Maternal I,Integral,37
0107603,Berçário,Integral,21
0107609,Maternal I,Parcial,25
0107803,Maternal II ,Parcial,30
0121001,Maternal II ,Integral,20
0123603,Maternal I,Integral,8
0123801,Maternal II ,Integral,11
02002,Maternal II ,Integral,23
02004,Maternal II ,Integral,7
02010,Maternal I,Integral,7
02013,Maternal II ,Integral,5
02020,Berçário,Integral,31
02029,Maternal II ,Integral,14
02046,Berçário,Integral,45
02049,Maternal I,Integral,18
02049,Berçário,Integral,19
0205601,Berçário,Integral,42
0205602,Maternal II ,Integral,10
02061,Maternal I,Integral,31
02063,Maternal II ,Integral,2
0206601,Berçário,Integral,21
0208601,Maternal I,Integral,3
0208608,Berçário,Integral,40
0209602,Berçário,Integral,34
0227601,Maternal II ,Integral,26
03002,Maternal II ,Integral,22
03019,Maternal II ,Integral,12
03022,Maternal II ,Integral,4
03023,Maternal I,Integral,25
03024,Maternal I,Integral,14
03025,Maternal I,Integral,23
03026,Berçário,Integral,61
03029,Berçário,Integral,31
03037,Maternal II ,Integral,24
03038,Maternal I,Integral,73
03039,Maternal I,Integral,9
0312502,Maternal II ,Integral,18
0312801,Berçário,Integral,27
0312804,Berçário,Integral,30
0312805,Maternal I,Integral,24
0312813,Berçário,Integral,36
0313602,Berçário,Integral,18
0313603,Berçário,Integral,36
0313608,Maternal II ,Integral,5
0313609,Berçário,Integral,48
0313610,Maternal I,Integral,8
0313612,Maternal I,Integral,16
0313801,Maternal I,Integral,6
0328604,Maternal I,Integral,14
0328801,Berçário,Integral,27
0329801,Maternal II ,Integral,4
04014,Maternal II ,Integral,23
04017,Maternal II ,Integral,8
04040,Maternal I,Integral,123
04041,Berçário,Integral,18
0410601,Maternal I,Integral,26
0410603,Maternal II ,Parcial,8
0411803,Maternal II ,Integral,6
0411803,Berçário,Integral,29
0430604,Maternal I,Integral,16
0430607,Maternal I,Integral,36
0430805,Maternal II ,Integral,2
0430815,Berçário,Integral,29
0431606,Maternal II ,Integral,20
05001,Berçário,Integral,35
05004,Maternal I,Integral,26
05014,Maternal I,Integral,112
0514603,Maternal II ,Integral,9
0514608,Maternal I,Integral,34
0515604,Berçário,Integral,58
0515605,Maternal I,Integral,20
0515611,Berçário,Integral,22
0515612,Maternal I,Integral,13
0515810,Berçário,Integral,21
06003,Maternal II ,Integral,18
06005,Maternal I,Integral,20
06012,Maternal I,Integral,9
06015,Maternal I,Integral,99
06016,Maternal I,Integral,27
0622601,Maternal I,Integral,6
