unidade,g,h,capacidade
09044,Maternal II ,Integral,8
0918611,Maternal I,Integral,25
0918802,Maternal I,Parcial,15
0918803,Maternal I,Integral,9
0918807,Maternal II ,Integral,15
0918809,Maternal II ,Integral,17
0918812,Maternal I,Integral,48
0918812,Maternal II ,Integral,23
0918813,Maternal I,Integral,13
0918814,Maternal I,Integral,26
0918814,Berçário,Integral,25
0918819,Maternal II ,Parcial,11
0918822,Maternal II ,Integral,12
0918828,Maternal I,Integral,12
0918831,Maternal I,Integral,21
0918838,Maternal II ,Parcial,27
0918839,Maternal I,Integral,22
0918839,Maternal II ,Integral,20
10006,Berçário,Integral,24
10022,Maternal II ,Integral,42
10032,Berçário,Integral,70
10033,Maternal I,Integral,1
10035,Maternal I,Integral,13
10039,Berçário,Integral,101
10040,Maternal II ,Integral,15
10042,Berçário,Integral,55
10045,Berçário,Integral,18
10055,Berçário,Integral,46
10056,Maternal I,Integral,21
10057,Berçário,Integral,151
10057,Maternal II ,Integral,20
10058,Maternal II ,Integral,13
10069,Maternal II ,Integral,6
10073,Maternal II ,Integral,37
10074,Maternal I,Integral,21
10080,Berçário,Integral,23
1019605,Maternal II ,Integral,10
1019610,Maternal II ,Integral,11
1019620,Maternal I,Integral,4
1019630,Maternal I,Integral,30
1019632,Maternal I,Integral,16
1019808,Maternal II ,Integral,34
1019826,Berçário,Integral,31
1019827,Berçário,Integral,31
1019829,Maternal II ,Integral,4
1019829,Maternal I,Integral,6
1019830,Berçário,Integral,23
1019830,Maternal I,Integral,4
1026601,Maternal II ,Parcial,42
1026806,Berçário,Integral,32
11008,Berçário,Integral,26
0103807,Maternal II ,Integral,5
0107607,Maternal I,Integral,7
02006,Maternal II ,Integral,1
0209606,Maternal II ,Integral,2
03036,Maternal I,Integral,11
0313602,Maternal I,Integral,7
0313606,Berçário,Integral,24
0330601,Maternal I,Integral,2
04009,Maternal I,Integral,11
04036,Maternal II ,Integral,1
0515606,Maternal I,Integral,27
0622801,Maternal II ,Integral,1
07014,Maternal II ,Integral,10
0724809,Maternal II ,Integral,2
0734603,Maternal II ,Integral,13
0734802,Maternal I,Integral,7
08021,Maternal I,Integral,3
09032,Berçário,Integral,13
09032,Maternal I,Integral,3
0918836,Maternal I,Integral,19
10037,Maternal II ,Integral,9
10070,Maternal II ,Integral,4
10078,Maternal I,Integral,2
10079,Maternal II ,Integral,2
10082,Berçário,Integral,8
1019627,Maternal I,Integral,6
1019815,Maternal I,Parcial,15
0103805,Maternal I,Integral,4
0107608,Maternal II ,Integral,2
0123603,Maternal II ,Integral,3
0208607,Maternal I,Integral,2
04045,Maternal I,Integral,3
0430815,Maternal I,Integral,6
0625816,Maternal II ,Integral,7
08010,Berçário,Integral,18
0918829,Berçário,Integral,22
10054,Maternal I,Integral,1
1019626,Maternal I,Integral,18
0103801,Maternal I,Integral,1
02019,Maternal II ,Integral,1
0209601,Maternal II ,Integral,4
0410801,Maternal II ,Integral,2
07044,Maternal II ,Integral,2
0833802,Maternal I,Parcial,6
0918825,Maternal I,Parcial,2
10047,Maternal I,Integral,3
11007,Maternal II ,Integral,2
04008,Maternal II ,Integral,6
0734802,Maternal II ,Integral,2
09040,Maternal II ,Integral,2
10078,Maternal II ,Integral,2
1120802,Maternal II ,Integral,1
04050,Maternal II ,Integral,2
0430604,Maternal II ,Integral,2
0918803,Maternal II ,Integral,2
05008,Maternal II ,Integral,2
06002,Maternal II ,Integral,4
02010,Maternal II ,Integral,1
01010,Maternal I,Integral,20
0102605,Maternal I,Integral,9
0103802,Maternal I,Parcial,13
0103807,Maternal I,Integral,28
02001,Maternal I,Integral,32
02011,Berçário,Integral,8
02012,Berçário,Integral,21
02026,Maternal II ,Integral,9
02031,Maternal I,Integral,35
02032,Maternal I,Integral,26
02035,Maternal II ,Integral,2
02041,Berçário,Integral,9
02047,Berçário,Integral,25
02048,Berçário,Integral,18
02054,Berçário,Integral,18
0206602,Berçário,Integral,55
0206603,Berçário,Integral,21
0206606,Berçário,Integral,47
0208803,Maternal I,Integral,29
0209605,Berçário,Integral,29
0209606,Maternal I,Integral,6
0209608,Berçário,Integral,46
03004,Maternal I,Integral,25
03005,Maternal I,Integral,29
03006,Maternal I,Integral,17
03006,Berçário,Integral,20
03008,Berçário,Integral,41
03027,Berçário,Integral,112
03029,Maternal II ,Integral,7
03039,Maternal II ,Integral,9
0312603,Maternal I,Integral,13
0312804,Maternal I,Integral,13
0312805,Berçário,Integral,30
0312806,Berçário,Integral,33
0313604,Maternal I,Integral,15
0313809,Maternal I,Integral,58
0330601,Berçário,Integral,27
04001,Maternal I,Integral,19
04002,Berçário,Integral,23
04005,Berçário,Integral,73
04009,Maternal II ,Integral,6
04011,Maternal II ,Integral,8
04017,Maternal I,Integral,17
04020,Maternal II ,Integral,1
04025,Berçário,Integral,64
04025,Maternal II ,Integral,23
04026,Maternal I,Integral,21
04028,Berçário,Integral,9
04030,Maternal II ,Integral,11
04037,Maternal I,Integral,40
04038,Maternal II ,Integral,23
04038,Berçário,Integral,75
04047,Maternal II ,Integral,10
0410802,Berçário,Integral,25
0410808,Berçário,Integral,58
0411603,Maternal II ,Integral,6
0411801,Berçário,Integral,23
0411803,Maternal I,Integral,7
0430801,Maternal II ,Integral,10
0430802,Maternal I,Integral,30
0430803,Maternal I,Integral,21
0430806,Maternal I,Integral,5
0430807,Berçário,Integral,51
0430809,Maternal I,Integral,2
0430813,Maternal I,Integral,23
0431801,Maternal II ,Integral,22
05001,Maternal I,Integral,23
05010,Maternal I,Integral,109
05010,Maternal II ,Integral,36
05012,Maternal II ,Integral,10
0515015,Maternal II ,Integral,24
0515803,Maternal II ,Integral,24
0515805,Maternal II ,Integral,32
06002,Berçário,Integral,56
06004,Maternal II ,Integral,15
06007,Maternal II ,Integral,13
0622603,Maternal II ,Parcial,11
0622603,Maternal I,Integral,2
0625605,Maternal II ,Integral,6
0625607,Berçário,Integral,33
0625610,Maternal I,Integral,21
0625614,Berçário,Integral,43
0625616,Maternal I,Integral,46
0625804,Maternal I,Integral,26
07004,Maternal II ,Integral,6
07015,Maternal II ,Integral,26
07018,Maternal I,Integral,86
07019,Maternal II ,Integral,82
07034,Berçário,Integral,24
07036,Maternal II ,Integral,30
07037,Maternal I,Integral,41
07040,Berçário,Integral,148
07041,Maternal II ,Integral,18
0716803,Maternal I,Integral,9
0716807,Maternal I,Integral,133
0716807,Maternal II ,Integral,53
0716814,Maternal I,Parcial,61
0716818,Berçário,Integral,56
0716819,Maternal II ,Integral,8
0724801,Maternal II ,Integral,17
0724802,Maternal I,Integral,27
0724807,Maternal I,Integral,40
0724808,Maternal II ,Integral,36
0734804,Maternal II ,Integral,9
0734804,Maternal I,Integral,19
08003,Maternal I,Integral,43
08009,Berçário,Integral,33
08013,Maternal II ,Integral,32
08015,Maternal I,Integral,47
08016,Maternal II ,Integral,12
08021,Berçário,Integral,10
0817602,Maternal II ,Integral,4
0817603,Maternal I,Integral,47
0817603,Berçário,Integral,20
0817607,Maternal I,Parcial,96
0817608,Maternal I,Parcial,49
0817609,Maternal II ,Parcial,12
0817610,Maternal II ,Parcial,20
0817611,Maternal II ,Integral,19
0817612,Maternal I,Parcial,42
0817614,Maternal I,Parcial,26
0817616,Maternal II ,Parcial,14
0817803,Maternal I,Parcial,10
0817806,Berçário,Integral,62
0817810,Maternal I,Integral,76
0817814,Maternal II ,Parcial,11
0817815,Berçário,Parcial,25
0817815,Maternal I,Parcial,5
0833602,Maternal II ,Integral,22
0833801,Maternal I,Integral,19
0833806,Berçário,Parcial,65
09001,Maternal I,Integral,15
09002,Maternal II ,Integral,6
09010,Maternal I,Integral,43
09010,Maternal II ,Integral,31
09013,Berçário,Integral,15
09017,Maternal I,Integral,55
09019,Berçário,Integral,41
09024,Maternal I,Integral,19
09027,Berçário,Integral,17
09031,Berçário,Integral,28
0918606,Maternal I,Integral,27
0918617,Berçário,Parcial,32
0918617,Maternal I,Parcial,12
0918619,Maternal I,Integral,43
0918808,Maternal I,Integral,35
0918814,Maternal II ,Parcial,11
0918823,Berçário,Integral,26
0918824,Maternal I,Parcial,6
0918827,Maternal II ,Integral,10
0918829,Maternal I,Integral,22
0918831,Berçário,Integral,44
0918832,Maternal I,Integral,40
0918833,Maternal I,Integral,26
10020,Maternal I,Integral,73
10027,Berçário,Integral,64
10035,Maternal II ,Integral,21
10036,Maternal II ,Integral,17
10045,Maternal I,Integral,20
10052,Berçário,Integral,78
10053,Berçário,Integral,107
10054,Berçário,Integral,10
10060,Berçário,Integral,25
10061,Berçário,Integral,17
10064,Maternal I,Integral,49
10067,Maternal I,Integral,22
10074,Berçário,Integral,30
10079,Berçário,Integral,48
10081,Maternal I,Integral,16
1019602,Berçário,Integral,56
1019602,Maternal I,Integral,32
1019602,Maternal II ,Integral,6
1019604,Maternal I,Integral,15
1019612,Maternal II ,Integral,2
1019613,Maternal II ,Parcial,13
1019618,Maternal I,Integral,33
1019620,Berçário,Integral,20
1019623,Maternal II ,Parcial,7
1019802,Maternal I,Integral,26
1019809,Maternal I,Integral,5
1019815,Maternal II ,Parcial,18
1019821,Maternal I,Integral,17
1026603,Maternal II ,Integral,37
1026604,Maternal I,Parcial,58
1026802,Berçário,Integral,27
11001,Berçário,Integral,20
11001,Maternal I,Integral,26
11007,Maternal I,Integral,5
11009,Berçário,Integral,33
1120601,Maternal II ,Integral,9
1120603,Maternal I,Integral,29
1120603,Berçário,Integral,33
1120604,Maternal I,Integral,24
0101603,Maternal II ,Integral,2
0209603,Maternal I,Integral,6
0209604,Maternal II ,Integral,4
0209607,Maternal II ,Integral,2
03003,Maternal II ,Integral,32
03016,Maternal I,Integral,5
03034,Maternal I,Integral,51
0312601,Maternal II ,Integral,8
0312603,Maternal II ,Integral,3
0330602,Maternal II ,Integral,3
04050,Berçário,Integral,22
0431802,Maternal I,Integral,12
0514605,Maternal I,Integral,13
0514802,Maternal II ,Parcial,11
0515810,Maternal II ,Integral,8
0515810,Maternal I,Integral,13
0716603,Maternal II ,Integral,11
08027,Maternal II ,Integral,2
0817801,Maternal I,Integral,9
10004,Maternal I,Integral,2
10059,Maternal II ,Integral,7
1019609,Maternal I,Integral,10
1019827,Maternal I,Integral,3
1026807,Maternal II ,Integral,23
1120801,Maternal II ,Integral,7
0103801,Maternal II ,Integral,1
02040,Maternal I,Integral,5
03030,Berçário,Integral,2
04039,Maternal II ,Integral,5
06012,Maternal II ,Integral,2
06017,Berçário,Integral,11
0734601,Maternal II ,Integral,10
0918811,Maternal II ,Parcial,4
02048,Maternal II ,Integral,1
0833802,Maternal II ,Parcial,7
01005,Maternal II ,Integral,1
0209609,Maternal II ,Integral,3
05003,Maternal II ,Integral,1
0205601,Maternal II ,Integral,3
1019630,Maternal II ,Integral,2
0622804,Maternal II ,Integral,1
09007,Berçário,Integral,2
08003,Maternal II ,Integral,1
