unidade,g,h,ociosas
0205602,Maternal I,Integral,13
0205801,Maternal I,Integral,9
0206601,Maternal I,Integral,9
0206602,Maternal I,Integral,26
0206603,Maternal I,Integral,7
0206605,Maternal I,Integral,2
0206606,Maternal I,Integral,9
0208601,Maternal I,Integral,23
0208603,Maternal I,Integral,5
0208604,Maternal I,Integral,11
0208605,Maternal I,Integral,2
0208606,Maternal I,Integral,6
0208607,Maternal I,Integral,7
0208608,Maternal I,Integral,14
0208801,Maternal I,Integral,27
0208803,Maternal I,Integral,17
0209601,Maternal I,Integral,22
0209602,Maternal I,Integral,10
0209603,Maternal I,Integral,10
0209604,Maternal I,Integral,4
0209605,Maternal I,Integral,9
0209606,Maternal I,Integral,17
0209607,Maternal I,Integral,12
0209608,Maternal I,Integral,24
0209609,Maternal I,Integral,11
0209610,Maternal I,Integral,20
0209803,Maternal I,Integral,2
0227801,Maternal I,Integral,3
0312502,Maternal I,Integral,9
0312601,Maternal I,Integral,7
0312602,Maternal I,Integral,0
0312603,Maternal I,Integral,11
0312801,Maternal I,Integral,0
0312802,Maternal I,Integral,7
0312803,Maternal I,Integral,2
0312804,Maternal I,Integral,17
0312805,Maternal I,Integral,6
0312806,Maternal I,Integral,5
0312809,Maternal I,Integral,14
0312810,Maternal I,Integral,3
0312812,Maternal I,Integral,6
0312813,Maternal I,Integral,12
0313601,Maternal I,Integral,6
0313602,Maternal I,Integral,16
0313603,Maternal I,Integral,12
0313604,Maternal I,Integral,5
0313606,Maternal I,Integral,15
0313607,Maternal I,Integral,12
0313608,Maternal I,Integral,3
0313609,Maternal I,Integral,11
0313610,Maternal I,Integral,10
0313611,Maternal I,Integral,11
0313612,Maternal I,Integral,16
0313801,Maternal I,Integral,1
0313802,Maternal I,Integral,0
0313804,Maternal I,Integral,2
0313805,Maternal I,Integral,1
0313809,Maternal I,Integral,2
0328601,Maternal I,Integral,42
0328602,Maternal I,Integral,0
0328604,Maternal I,Integral,1
0328801,Maternal I,Integral,1
0329801,Maternal I,Integral,4
0330601,Maternal I,Integral,0
0330602,Maternal I,Integral,2
0410601,Maternal I,Integral,6
0410603,Maternal I,Integral,12
0410801,Maternal I,Integral,10
0410802,Maternal I,Integral,0
0410803,Maternal I,Integral,3
0410805,Maternal I,Integral,0
0410807,Maternal I,Integral,0
0410808,Maternal I,Integral,1
0411601,Maternal I,Integral,1
0411602,Maternal I,Integral,7
0411603,Maternal I,Integral,16
0411605,Maternal I,Integral,9
0411801,Maternal I,Integral,16
0411802,Maternal I,Integral,1
0411803,Maternal I,Integral,6
0430602,Maternal I,Integral,2
0430603,Maternal I,Integral,0
0430604,Maternal I,Integral,8
0430605,Maternal I,Integral,5
0430607,Maternal I,Integral,18
0430801,Maternal I,Integral,8
0430802,Maternal I,Integral,0
0430803,Maternal I,Integral,11
0430805,Maternal I,Integral,5
0430806,Maternal I,Integral,3
0430807,Maternal I,Integral,6
0430809,Maternal I,Integral,0
0430810,Maternal I,Integral,0
0430811,Maternal I,Integral,0
0430812,Maternal I,Integral,1
0430813,Maternal I,Integral,2
0430815,Maternal I,Integral,0
0431602,Maternal I,Integral,7
0431603,Maternal I,Integral,11
0431604,Maternal I,Integral,1
0431605,Maternal I,Integral,4
0431606,Maternal I,Integral,0
0431607,Maternal I,Integral,7
0431802,Maternal I,Integral,15
0514601,Maternal I,Integral,3
0514602,Maternal I,Integral,4
0514603,Maternal I,Integral,13
0514604,Maternal I,Integral,2
0514605,Maternal I,Integral,0
0514606,Maternal I,Integral,10
0514607,Maternal I,Integral,29
0514608,Maternal I,Integral,1
0514609,Maternal I,Integral,4
0514801,Maternal I,Integral,11
0515601,Maternal I,Integral,11
0515602,Maternal I,Integral,2
0515604,Maternal I,Integral,2
0515605,Maternal I,Integral,2
0515606,Maternal I,Integral,8
0515607,Maternal I,Integral,6
0515608,Maternal I,Integral,1
0515610,Maternal I,Integral,8
0515611,Maternal I,Integral,2
0515612,Maternal I,Integral,9
0515613,Maternal I,Integral,6
0515801,Maternal I,Integral,3
0515807,Maternal I,Integral,0
0515808,Maternal I,Integral,1
0515809,Maternal I,Integral,6
0515810,Maternal I,Integral,17
0622202,Maternal I,Integral,20
0622601,Maternal I,Integral,0
0622602,Maternal I,Integral,9
0622603,Maternal I,Integral,0
0622801,Maternal I,Integral,0
0622804,Maternal I,Integral,2
0622805,Maternal I,Integral,18
0625601,Maternal I,Integral,2
0625602,Maternal I,Integral,0
