unidade,bairro_unid
0313804,CACHAMBI
0313805,ENGENHO DE DENTRO
0313806,PIEDADE
0313807,ENGENHO DE DENTRO
0313808,RIACHUELO
0313809,AGUA SANTA
0313830,PIEDADE
0328801,JACAREZINHO
0329801,RAMOS
0312001,HIGIENOPOLIS
0312002,HIGIENOPOLIS
0312003,HIGIENOPOLIS
0312004,HIGIENOPOLIS
0312005,HIGIENOPOLIS
0312006,HIGIENOPOLIS
0312008,ROCHA
0312009,RIACHUELO
0312010,HIGIENOPOLIS
0312011,MARIA DA GRACA
0312012,DEL CASTILHO
0312013,DEL CASTILHO
0312014,INHAUMA
0312015,INHAUMA
0312016,INHAUMA
0312017,DEL CASTILHO
0312018,INHAUMA
0312019,INHAUMA
0312020,INHAUMA
0312021,DEL CASTILHO
0312022,INHAUMA
0312023,INHAUMA
0312024,INHAUMA
0312025,DEL CASTILHO
0312027,INHAUMA
0312029,ENGENHO DA RAINHA
0312030,ENGENHO DA RAINHA
0312031,ENGENHO DA RAINHA
0312032,ENGENHO DA RAINHA
0312033,ENGENHO DA RAINHA
0312034,ENGENHO DA RAINHA
0312035,TOMAS COELHO
0312037,BONSUCESSO
0312040,ENGENHO DA RAINHA
0312041,INHAUMA
0312043,ROCHA
0312044,ROCHA
0313001,ROCHA
0313002,ROCHA
0313003,ROCHA
0313005,SAMPAIO
0313006,JACARE
0313007,ENGENHO NOVO
0313008,ENGENHO NOVO
0313011,LINS DE VASCONCELOS
0313012,LINS DE VASCONCELOS
0313013,LINS DE VASCONCELOS
0313014,ENGENHO NOVO
0313015,MEIER
0313016,MEIER
0313017,MEIER
0313018,MEIER
0313019,LINS DE VASCONCELOS
0313020,MEIER
0313021,MEIER
0313022,MEIER
0313023,ENGENHO DE DENTRO
0313024,TODOS OS SANTOS
0313025,CACHAMBI
0313026,CACHAMBI
0313027,CACHAMBI
0313029,CACHAMBI
0313030,CACHAMBI
0313031,CACHAMBI
0313032,ENGENHO DE DENTRO
0313033,ENGENHO DE DENTRO
0313034,ENGENHO DE DENTRO
0313035,ENGENHO DE DENTRO
0313036,ENGENHO DE DENTRO
0313037,ENGENHO DE DENTRO
0313038,ENGENHO DE DENTRO
0313040,AGUA SANTA
0313041,ENCANTADO
0313042,ENCANTADO
0313043,ABOLICAO
0313044,PIEDADE
0313046,PIEDADE
0313048,PIEDADE
0313049,AGUA SANTA
0313051,PILARES
0313052,PILARES
